"","participant","predicate","predicate_number","context","context_number","response"
"4156",152,"be right",6,"14H",22,0.62
"4157",152,"say",8,"10L",36,0.14
"4158",152,"think",7,"8L",23,0.24
"4160",152,"discover",14,"6L",30,0.26
"4161",153,"prove",2,"7H",24,0
"4163",153,"be annoyed",9,"10H",18,0.99
"4164",153,"pretend",15,"3L",9,0
"4166",153,"demonstrate",18,"18L",32,0.01
"4167",153,"discover",14,"12H",2,0.99
"4168",153,"acknowledge",5,"14L",14,0.99
"4169",153,"think",7,"11H",29,0
"4171",153,"see",19,"16L",31,1
"4173",153,"announce",10,"5H",20,0.52
"4174",153,"establish",1,"4H",40,0
"4175",153,"confirm",4,"9L",16,0.02
"4176",153,"hear",16,"17H",21,0.53
"4177",153,"say",8,"20H",3,0.01
"4178",153,"suggest",17,"2H",25,0.01
"4179",153,"confess",20,"13L",26,0.01
"4181",153,"admit",13,"8H",1,1
"4182",153,"reveal",3,"15L",7,0
"4183",153,"know",11,"6L",30,0.99
"4184",153,"be right",6,"1L",37,0.01
"4185",153,"inform",12,"19L",4,0.52
"4189",154,"reveal",3,"8H",1,0
"4190",154,"be right",6,"3H",33,0.09
"4191",154,"say",8,"15L",7,0.47
"4193",154,"pretend",15,"7H",24,0
"4194",154,"discover",14,"10H",18,0.35
"4195",154,"admit",13,"13H",8,0.51
"4196",154,"confess",20,"18L",32,0
"4197",154,"acknowledge",5,"4L",12,0.07
"4200",154,"suggest",17,"2H",25,0.11
"4201",154,"think",7,"11L",11,0.16
"4202",154,"prove",2,"5H",20,0
"4203",154,"hear",16,"12L",28,0
"4205",154,"see",19,"9H",35,0
"4206",154,"be annoyed",9,"19L",4,0.1
"4207",154,"establish",1,"1L",37,0
"4208",154,"know",11,"17L",15,0.83
"4209",154,"inform",12,"20L",27,0.37
"4210",154,"demonstrate",18,"14H",22,0.8
"4211",154,"confirm",4,"6H",5,0.14
"4212",154,"announce",10,"16L",31,0.29
"4214",155,"think",7,"2L",10,0.01
"4215",155,"acknowledge",5,"7L",19,0.02
"4216",155,"be right",6,"15H",34,0.2
"4217",155,"confirm",4,"19L",4,0.06
"4220",155,"admit",13,"3H",33,0.4
"4221",155,"confess",20,"12H",2,0.2
"4224",155,"establish",1,"16L",31,0
"4225",155,"be annoyed",9,"13L",26,0.97
"4226",155,"prove",2,"1H",13,0.98
"4227",155,"hear",16,"9H",35,0.97
"4228",155,"announce",10,"20H",3,0.14
"4229",155,"discover",14,"18L",32,0.94
"4230",155,"say",8,"6H",5,0.09
"4231",155,"demonstrate",18,"5H",20,0.09
"4232",155,"reveal",3,"8L",23,0.05
"4234",155,"inform",12,"10L",36,0.03
"4235",155,"suggest",17,"11H",29,0.02
"4236",155,"pretend",15,"4H",40,0.04
"4237",155,"know",11,"14L",14,0.8
"4238",155,"see",19,"17L",15,0.01
"4239",156,"discover",14,"16L",31,0.93
"4241",156,"admit",13,"15L",7,0.74
"4243",156,"see",19,"5L",38,0.96
"4244",156,"demonstrate",18,"17L",15,0.93
"4245",156,"hear",16,"13L",26,0.97
"4246",156,"say",8,"8H",1,0.1
"4247",156,"know",11,"10H",18,0.99
"4248",156,"be right",6,"14H",22,0.01
"4249",156,"reveal",3,"12H",2,0.55
"4250",156,"inform",12,"11L",11,0.87
"4252",156,"prove",2,"7L",19,0.07
"4253",156,"establish",1,"1H",13,0.23
"4254",156,"confess",20,"6H",5,0.59
"4255",156,"think",7,"4H",40,0
"4256",156,"confirm",4,"18L",32,0.18
"4257",156,"announce",10,"3H",33,0
"4258",156,"be annoyed",9,"9L",16,0.98
"4260",156,"acknowledge",5,"19L",4,0.92
"4261",156,"pretend",15,"2H",25,0
"4263",156,"suggest",17,"20H",3,0
"4265",157,"pretend",15,"16L",31,0.03
"4266",157,"prove",2,"14L",14,0.25
"4267",157,"confess",20,"19H",39,0.48
"4268",157,"establish",1,"11H",29,0.16
"4269",157,"hear",16,"8H",1,0.2
"4270",157,"say",8,"4H",40,0.56
"4272",157,"inform",12,"3H",33,0.63
"4273",157,"be right",6,"2L",10,0.03
"4276",157,"discover",14,"17H",21,0.6
"4277",157,"see",19,"10L",36,0.27
"4278",157,"acknowledge",5,"5L",38,0.63
"4279",157,"know",11,"20L",27,0.83
"4280",157,"be annoyed",9,"9L",16,0.16
"4282",157,"demonstrate",18,"6H",5,0.69
"4284",157,"think",7,"7H",24,0.23
"4285",157,"announce",10,"15L",7,0.08
"4286",157,"suggest",17,"18H",6,0.47
"4287",157,"reveal",3,"1H",13,0.99
"4289",157,"confirm",4,"12L",28,0.12
"4290",157,"admit",13,"13L",26,0.15
"4291",158,"confirm",4,"7L",19,0.1
"4292",158,"inform",12,"15L",7,0.52
"4293",158,"pretend",15,"9L",16,0
"4294",158,"admit",13,"17H",21,0.65
"4295",158,"reveal",3,"10H",18,0.68
"4296",158,"announce",10,"20H",3,0.98
"4297",158,"say",8,"6H",5,0.12
"4300",158,"discover",14,"12H",2,0.56
"4301",158,"be annoyed",9,"16L",31,0.71
"4302",158,"confess",20,"18L",32,0.09
"4303",158,"think",7,"1L",37,0
"4306",158,"suggest",17,"11H",29,0.56
"4307",158,"prove",2,"13L",26,0
"4308",158,"know",11,"3H",33,0.83
"4309",158,"acknowledge",5,"8L",23,0.36
"4310",158,"be right",6,"2H",25,0.54
"4312",158,"hear",16,"4L",12,0.6
"4314",158,"demonstrate",18,"5H",20,0.44
"4315",158,"establish",1,"14H",22,0.34
"4316",158,"see",19,"19L",4,0.69
"4317",159,"think",7,"4H",40,0
"4318",159,"be annoyed",9,"3L",9,0.78
"4319",159,"say",8,"17L",15,0
"4320",159,"admit",13,"5L",38,0
"4322",159,"see",19,"19H",39,0.63
"4323",159,"demonstrate",18,"20H",3,0.76
"4324",159,"confess",20,"6H",5,0.31
"4325",159,"confirm",4,"18H",6,0.18
"4326",159,"reveal",3,"15H",34,0.03
"4327",159,"be right",6,"14H",22,0.52
"4328",159,"discover",14,"11L",11,0
"4329",159,"pretend",15,"10L",36,0
"4330",159,"hear",16,"9H",35,0.17
"4331",159,"prove",2,"13L",26,0
"4333",159,"know",11,"1L",37,1
"4334",159,"suggest",17,"16L",31,0
"4336",159,"announce",10,"8H",1,0
"4337",159,"inform",12,"7L",19,0
"4338",159,"acknowledge",5,"2L",10,0.94
"4339",159,"establish",1,"12H",2,0
"4343",160,"be right",6,"4L",12,0
"4345",160,"demonstrate",18,"5H",20,0.25
"4347",160,"suggest",17,"9H",35,0.91
"4348",160,"see",19,"20L",27,0
"4349",160,"hear",16,"7H",24,0
"4351",160,"prove",2,"15H",34,0.76
"4352",160,"be annoyed",9,"19L",4,0.34
"4353",160,"reveal",3,"12L",28,0.18
"4355",160,"confirm",4,"13L",26,0.34
"4356",160,"know",11,"6L",30,0
"4357",160,"discover",14,"18H",6,0.63
"4358",160,"think",7,"10H",18,0.91
"4359",160,"establish",1,"17H",21,0.7
"4360",160,"inform",12,"8L",23,0.47
"4361",160,"announce",10,"1L",37,0
"4362",160,"confess",20,"11L",11,0.19
"4363",160,"say",8,"14H",22,0.94
"4364",160,"acknowledge",5,"3H",33,0.84
"4366",160,"pretend",15,"16L",31,0.17
"4367",160,"admit",13,"2H",25,0.8
"4370",161,"say",8,"12H",2,0.27
"4371",161,"be right",6,"2L",10,0
"4372",161,"establish",1,"11L",11,0
"4373",161,"confess",20,"8H",1,0
"4374",161,"be annoyed",9,"20L",27,0.88
"4375",161,"prove",2,"10L",36,0
"4376",161,"know",11,"4H",40,0.95
"4377",161,"demonstrate",18,"5L",38,0
"4378",161,"admit",13,"18H",6,0.5
"4380",161,"think",7,"1L",37,0
"4381",161,"discover",14,"17L",15,0.96
"4382",161,"hear",16,"6H",5,1
"4384",161,"acknowledge",5,"14L",14,0.65
"4385",161,"see",19,"7L",19,1
"4387",161,"inform",12,"3L",9,0.99
"4389",161,"reveal",3,"13H",8,0.87
"4390",161,"pretend",15,"19H",39,0
"4392",161,"announce",10,"9H",35,0
"4393",161,"confirm",4,"16H",17,0.38
"4394",161,"suggest",17,"15H",34,0.13
"4395",162,"demonstrate",18,"20L",27,0.01
"4396",162,"be annoyed",9,"13H",8,0.86
"4398",162,"pretend",15,"19H",39,0.48
"4399",162,"know",11,"10L",36,0.73
"4400",162,"announce",10,"4L",12,0.11
"4401",162,"think",7,"9H",35,0.43
"4402",162,"hear",16,"12L",28,0.77
"4403",162,"confirm",4,"8H",1,0.28
"4404",162,"discover",14,"14H",22,0.86
"4405",162,"suggest",17,"17H",21,0.86
"4406",162,"be right",6,"5L",38,0.07
"4408",162,"prove",2,"11H",29,0.16
"4409",162,"confess",20,"3H",33,0.8
"4410",162,"inform",12,"18L",32,0.36
"4411",162,"reveal",3,"16H",17,0.61
"4412",162,"say",8,"1L",37,0.25
"4413",162,"see",19,"2H",25,0.82
"4415",162,"establish",1,"15L",7,0.11
"4416",162,"admit",13,"6L",30,0.12
"4420",162,"acknowledge",5,"7L",19,0.19
"4423",163,"say",8,"12L",28,0.17
"4424",163,"suggest",17,"17H",21,0.43
"4425",163,"confirm",4,"3L",9,0.13
"4426",163,"be right",6,"14L",14,0.12
"4428",163,"think",7,"15L",7,0
"4429",163,"inform",12,"18H",6,0.38
"4430",163,"acknowledge",5,"8L",23,0.12
"4431",163,"admit",13,"2H",25,0.42
"4432",163,"hear",16,"1H",13,0.87
"4433",163,"see",19,"11L",11,0.15
"4434",163,"discover",14,"19H",39,0.29
"4435",163,"demonstrate",18,"13L",26,0.3
"4436",163,"prove",2,"10L",36,0.1
"4437",163,"pretend",15,"20H",3,0.14
"4439",163,"reveal",3,"5H",20,0.17
"4440",163,"be annoyed",9,"9H",35,0.22
"4441",163,"confess",20,"16L",31,0.19
"4442",163,"know",11,"6H",5,0.34
"4443",163,"announce",10,"7H",24,0.17
"4446",163,"establish",1,"4L",12,0.19
"4447",164,"confirm",4,"18L",32,0.04
"4448",164,"be annoyed",9,"11H",29,0.96
"4449",164,"inform",12,"5H",20,0.93
"4451",164,"be right",6,"8L",23,0.04
"4452",164,"reveal",3,"4H",40,1
"4453",164,"pretend",15,"1L",37,0.06
"4454",164,"establish",1,"7L",19,0.04
"4455",164,"hear",16,"13L",26,0.85
"4456",164,"acknowledge",5,"19H",39,0.96
"4457",164,"confess",20,"17L",15,0.02
"4458",164,"suggest",17,"16L",31,0.02
"4460",164,"announce",10,"2H",25,0.98
"4461",164,"prove",2,"9L",16,0.01
"4463",164,"think",7,"3H",33,0.94
"4466",164,"see",19,"20H",3,0.97
"4467",164,"admit",13,"15H",34,0.97
"4469",164,"demonstrate",18,"12H",2,0.93
"4470",164,"know",11,"6H",5,0.95
"4471",164,"discover",14,"14L",14,0.02
"4472",164,"say",8,"10L",36,0.03
"4475",165,"say",8,"11L",11,0.1
"4476",165,"admit",13,"2L",10,0.07
"4477",165,"see",19,"14H",22,0.52
"4478",165,"know",11,"4H",40,0.73
"4479",165,"hear",16,"12H",2,0.79
"4480",165,"inform",12,"7L",19,0.15
"4481",165,"prove",2,"9L",16,0.67
"4482",165,"think",7,"15H",34,0.94
"4483",165,"acknowledge",5,"5H",20,0.75
"4487",165,"discover",14,"20L",27,0.72
"4488",165,"confess",20,"6L",30,0.37
"4489",165,"pretend",15,"13L",26,0.07
"4490",165,"suggest",17,"8H",1,0.08
"4491",165,"be right",6,"17H",21,0.77
"4492",165,"reveal",3,"1L",37,0.62
"4493",165,"demonstrate",18,"19H",39,0.83
"4494",165,"establish",1,"18H",6,0.13
"4495",165,"announce",10,"16H",17,0.46
"4496",165,"be annoyed",9,"3L",9,0.94
"4497",165,"confirm",4,"10L",36,0.07
"4500",166,"suggest",17,"8L",23,0.1
"4501",166,"acknowledge",5,"12H",2,0.15
"4502",166,"know",11,"7L",19,0.23
"4503",166,"announce",10,"13H",8,0.17
"4505",166,"say",8,"11L",11,0.12
"4506",166,"establish",1,"5H",20,0.1
"4508",166,"admit",13,"15L",7,0.07
"4509",166,"confirm",4,"19L",4,0.06
"4510",166,"be annoyed",9,"4H",40,0.8
"4511",166,"discover",14,"6L",30,0.09
"4512",166,"hear",16,"16L",31,0.1
"4514",166,"be right",6,"9H",35,0.11
"4515",166,"think",7,"20H",3,0.1
"4516",166,"prove",2,"17L",15,0.08
"4518",166,"confess",20,"10H",18,0.08
"4519",166,"reveal",3,"14L",14,0.12
"4520",166,"pretend",15,"18L",32,0.08
"4521",166,"see",19,"3H",33,0.06
"4522",166,"inform",12,"2H",25,0.07
"4524",166,"demonstrate",18,"1H",13,0.08
"4525",167,"pretend",15,"10L",36,0
"4526",167,"admit",13,"2H",25,0.5
"4528",167,"be right",6,"7L",19,0.05
"4529",167,"suggest",17,"14H",22,0.17
"4530",167,"confirm",4,"12H",2,0.47
"4531",167,"say",8,"20H",3,0.51
"4533",167,"know",11,"15L",7,0.6
"4535",167,"prove",2,"3L",9,0.23
"4536",167,"establish",1,"8L",23,0.22
"4537",167,"announce",10,"9L",16,0.3
"4538",167,"think",7,"5H",20,0.51
"4539",167,"inform",12,"11H",29,0.46
"4541",167,"hear",16,"18H",6,0.54
"4542",167,"see",19,"13L",26,0.41
"4543",167,"be annoyed",9,"1L",37,0.45
"4544",167,"confess",20,"17H",21,0.39
"4546",167,"discover",14,"4H",40,0.5
"4548",167,"acknowledge",5,"6H",5,0.43
"4549",167,"demonstrate",18,"16L",31,0.17
"4550",167,"reveal",3,"19L",4,0.2
"4554",168,"think",7,"8L",23,0.14
"4555",168,"know",11,"5L",38,0.5
"4556",168,"establish",1,"6L",30,0.24
"4557",168,"pretend",15,"9H",35,0.13
"4558",168,"announce",10,"1H",13,0.6
"4559",168,"prove",2,"11H",29,0.41
"4560",168,"be right",6,"12L",28,0.2
"4561",168,"say",8,"20L",27,0.36
"4562",168,"reveal",3,"14H",22,0.43
"4563",168,"suggest",17,"19H",39,0.49
"4564",168,"be annoyed",9,"3H",33,0.75
"4565",168,"confirm",4,"2L",10,0.12
"4566",168,"demonstrate",18,"16H",17,0.46
"4567",168,"discover",14,"7H",24,0.59
"4570",168,"confess",20,"17L",15,0.52
"4571",168,"hear",16,"4L",12,0.63
"4572",168,"acknowledge",5,"13H",8,0.88
"4573",168,"see",19,"10L",36,0.49
"4574",168,"inform",12,"15H",34,0.76
"4575",168,"admit",13,"18L",32,0.43
"4577",169,"reveal",3,"7H",24,0.92
"4578",169,"discover",14,"20L",27,0.81
"4580",169,"be annoyed",9,"15H",34,0.93
"4581",169,"hear",16,"19H",39,0.62
"4582",169,"prove",2,"10H",18,0.14
"4583",169,"inform",12,"1H",13,0.88
"4584",169,"be right",6,"12H",2,0.13
"4585",169,"admit",13,"9H",35,0.39
"4586",169,"say",8,"6L",30,0.06
"4587",169,"think",7,"3L",9,0.32
"4588",169,"know",11,"4L",12,0.87
"4589",169,"announce",10,"17L",15,0.27
"4590",169,"demonstrate",18,"16L",31,0.31
"4592",169,"pretend",15,"14L",14,0.01
"4594",169,"acknowledge",5,"13L",26,0.16
"4597",169,"confess",20,"2L",10,0.37
"4598",169,"establish",1,"8L",23,0.14
"4599",169,"see",19,"5H",20,0.45
"4600",169,"confirm",4,"11H",29,0.37
"4601",169,"suggest",17,"18H",6,0.1
"4603",170,"see",19,"14H",22,0.72
"4604",170,"reveal",3,"6L",30,0.61
"4605",170,"confess",20,"8L",23,0.26
"4606",170,"be annoyed",9,"15H",34,0.76
"4608",170,"know",11,"1L",37,0.7
"4609",170,"admit",13,"20L",27,0.12
"4610",170,"establish",1,"12L",28,0.65
"4611",170,"hear",16,"5L",38,0.67
"4614",170,"announce",10,"3H",33,0.39
"4616",170,"discover",14,"2H",25,0.89
"4617",170,"say",8,"17H",21,0.51
"4618",170,"prove",2,"16H",17,0.61
"4619",170,"be right",6,"7H",24,0.04
"4620",170,"acknowledge",5,"13H",8,0.62
"4621",170,"confirm",4,"10H",18,0.27
"4623",170,"pretend",15,"9L",16,0
"4624",170,"inform",12,"18L",32,0.07
"4626",170,"suggest",17,"4L",12,0.14
"4627",170,"demonstrate",18,"11H",29,0.24
"4628",170,"think",7,"19L",4,0.32
"4629",171,"pretend",15,"15L",7,0.1
"4630",171,"inform",12,"5H",20,0.31
"4631",171,"know",11,"4L",12,0.5
"4632",171,"acknowledge",5,"8L",23,0.15
"4635",171,"discover",14,"17H",21,0.13
"4636",171,"prove",2,"1H",13,0.51
"4637",171,"reveal",3,"3H",33,0.49
"4638",171,"announce",10,"14L",14,0.13
"4640",171,"suggest",17,"9H",35,0.24
"4641",171,"demonstrate",18,"12H",2,0.14
"4642",171,"see",19,"13L",26,0.07
"4643",171,"establish",1,"19L",4,0.08
"4644",171,"think",7,"16H",17,0.22
"4645",171,"be annoyed",9,"10L",36,0
"4646",171,"confirm",4,"7L",19,0.09
"4647",171,"confess",20,"11L",11,0.14
"4648",171,"admit",13,"2H",25,0.43
"4650",171,"say",8,"6L",30,0.12
"4653",171,"hear",16,"18H",6,0.11
"4654",171,"be right",6,"20H",3,0.17
"4655",172,"confess",20,"5L",38,0
"4657",172,"know",11,"2H",25,1
"4658",172,"be right",6,"11L",11,0
"4659",172,"think",7,"12H",2,0
"4660",172,"discover",14,"19L",4,0
"4661",172,"say",8,"18L",32,0
"4662",172,"acknowledge",5,"4H",40,0.71
"4663",172,"be annoyed",9,"14H",22,1
"4664",172,"admit",13,"13H",8,0.21
"4665",172,"announce",10,"3L",9,0
"4666",172,"pretend",15,"6H",5,0
"4667",172,"establish",1,"17L",15,0.02
"4668",172,"reveal",3,"7H",24,0
"4669",172,"prove",2,"10L",36,0.02
"4670",172,"hear",16,"8L",23,0.01
"4674",172,"inform",12,"20H",3,0.99
"4675",172,"demonstrate",18,"16H",17,0.01
"4676",172,"suggest",17,"9L",16,0
"4677",172,"see",19,"15H",34,0.74
"4679",172,"confirm",4,"1L",37,0
"4681",173,"demonstrate",18,"2H",25,0.28
"4682",173,"acknowledge",5,"16L",31,0.08
"4683",173,"pretend",15,"13L",26,0.02
"4685",173,"confirm",4,"19L",4,0.57
"4686",173,"discover",14,"3H",33,0.64
"4687",173,"admit",13,"11H",29,0.54
"4689",173,"think",7,"18H",6,0.08
"4690",173,"be annoyed",9,"14L",14,0.98
"4691",173,"prove",2,"10H",18,0.15
"4692",173,"know",11,"5L",38,0.98
"4693",173,"be right",6,"8L",23,0.01
"4694",173,"see",19,"20H",3,0.94
"4695",173,"say",8,"4H",40,0.12
"4696",173,"reveal",3,"15L",7,0.9
"4697",173,"confess",20,"17H",21,0.61
"4698",173,"hear",16,"1L",37,0.49
"4701",173,"inform",12,"7H",24,0.94
"4702",173,"establish",1,"6H",5,0.65
"4703",173,"announce",10,"9L",16,0.59
"4706",173,"suggest",17,"12L",28,0.62
"4707",174,"acknowledge",5,"11H",29,0.33
"4708",174,"demonstrate",18,"1L",37,0.43
"4710",174,"think",7,"7H",24,0.3
"4711",174,"say",8,"5L",38,0.76
"4713",174,"confess",20,"13H",8,0.81
"4714",174,"be annoyed",9,"14H",22,0.72
"4715",174,"inform",12,"3H",33,0.73
"4716",174,"suggest",17,"2H",25,0.87
"4717",174,"reveal",3,"6L",30,0.51
"4718",174,"admit",13,"15H",34,0.83
"4719",174,"prove",2,"19L",4,0.16
"4720",174,"establish",1,"12L",28,0.06
"4721",174,"know",11,"9L",16,0.09
"4723",174,"be right",6,"18L",32,0.32
"4725",174,"confirm",4,"17L",15,0.05
"4726",174,"see",19,"8H",1,0.33
"4728",174,"pretend",15,"20H",3,0.75
"4729",174,"discover",14,"16L",31,0.15
"4731",174,"hear",16,"4L",12,0.04
"4732",174,"announce",10,"10H",18,0.91
"4733",175,"say",8,"3L",9,0.01
"4734",175,"discover",14,"4L",12,0.01
"4736",175,"acknowledge",5,"13H",8,0.08
"4737",175,"confess",20,"19L",4,0
"4738",175,"think",7,"20H",3,0.03
"4740",175,"confirm",4,"18H",6,0
"4741",175,"suggest",17,"11H",29,0.01
"4742",175,"pretend",15,"6L",30,0.01
"4744",175,"know",11,"10L",36,0
"4746",175,"prove",2,"9H",35,0.02
"4747",175,"see",19,"14L",14,0.03
"4748",175,"admit",13,"15H",34,0
"4749",175,"announce",10,"7H",24,0.01
"4750",175,"inform",12,"16L",31,0.01
"4751",175,"be annoyed",9,"17L",15,0.02
"4753",175,"demonstrate",18,"2H",25,0
"4754",175,"reveal",3,"1H",13,0.65
"4755",175,"hear",16,"8H",1,0.01
"4756",175,"be right",6,"5L",38,0.02
"4758",175,"establish",1,"12L",28,0.01
"4759",176,"suggest",17,"12L",28,0.1
"4760",176,"establish",1,"14L",14,0.58
"4761",176,"pretend",15,"9H",35,0.12
"4762",176,"be annoyed",9,"6H",5,0.98
"4763",176,"inform",12,"7H",24,0.02
"4764",176,"confirm",4,"20L",27,0
"4765",176,"hear",16,"16L",31,0
"4766",176,"confess",20,"10H",18,0.92
"4767",176,"acknowledge",5,"18H",6,0.68
"4768",176,"know",11,"1L",37,0.95
"4772",176,"say",8,"13H",8,0.35
"4774",176,"think",7,"2L",10,0
"4775",176,"see",19,"3L",9,0.79
"4776",176,"demonstrate",18,"5H",20,0.28
"4777",176,"announce",10,"17H",21,0.34
"4778",176,"prove",2,"11H",29,0.48
"4780",176,"admit",13,"15L",7,0.31
"4781",176,"be right",6,"4L",12,0.03
"4783",176,"reveal",3,"8L",23,0.17
"4784",176,"discover",14,"19H",39,0.72
"4785",177,"see",19,"18H",6,0.26
"4786",177,"know",11,"1L",37,0
"4787",177,"suggest",17,"13L",26,0
"4788",177,"be right",6,"4H",40,0.67
"4789",177,"pretend",15,"6H",5,0.79
"4790",177,"think",7,"20H",3,0.91
"4791",177,"say",8,"3H",33,0.9
"4792",177,"demonstrate",18,"10L",36,0.07
"4794",177,"admit",13,"12L",28,0.04
"4796",177,"inform",12,"5L",38,0.31
"4797",177,"establish",1,"7H",24,0.11
"4798",177,"reveal",3,"9L",16,0.14
"4799",177,"announce",10,"15H",34,0.87
"4800",177,"acknowledge",5,"2L",10,0.2
"4802",177,"hear",16,"14H",22,0.71
"4804",177,"prove",2,"16L",31,0.1
"4805",177,"discover",14,"8H",1,0.35
"4807",177,"confess",20,"11H",29,0.71
"4809",177,"be annoyed",9,"17L",15,0.2
"4810",177,"confirm",4,"19L",4,0.06
"4811",178,"prove",2,"2L",10,0.18
"4812",178,"announce",10,"7L",19,0.08
"4813",178,"pretend",15,"1H",13,0.25
"4815",178,"inform",12,"10H",18,0.76
"4816",178,"see",19,"11L",11,0.77
"4817",178,"suggest",17,"18H",6,0.28
"4818",178,"admit",13,"13L",26,0.65
"4820",178,"establish",1,"19L",4,0.08
"4821",178,"hear",16,"16L",31,0.73
"4822",178,"be annoyed",9,"12L",28,0.74
"4823",178,"discover",14,"17H",21,0.77
"4824",178,"confess",20,"4H",40,0.76
"4826",178,"confirm",4,"5H",20,0.51
"4827",178,"say",8,"9L",16,0.51
"4828",178,"demonstrate",18,"20H",3,0.87
"4829",178,"be right",6,"3L",9,0.29
"4830",178,"reveal",3,"6H",5,0.8
"4832",178,"think",7,"8H",1,0.23
"4834",178,"know",11,"14H",22,0.85
"4835",178,"acknowledge",5,"15L",7,0.79
"4837",179,"prove",2,"15H",34,0.03
"4838",179,"pretend",15,"5L",38,0.03
"4839",179,"suggest",17,"16L",31,0.01
"4840",179,"demonstrate",18,"1L",37,0.01
"4841",179,"think",7,"3H",33,0
"4843",179,"say",8,"17H",21,0.01
"4845",179,"see",19,"11L",11,0.02
"4846",179,"be right",6,"10H",18,0.02
"4847",179,"be annoyed",9,"18H",6,0.49
"4849",179,"acknowledge",5,"13L",26,0.02
"4850",179,"admit",13,"2L",10,0.49
"4851",179,"discover",14,"6H",5,0.01
"4852",179,"confirm",4,"9L",16,0.01
"4853",179,"announce",10,"4L",12,0.02
"4854",179,"know",11,"8H",1,0.02
"4857",179,"establish",1,"12H",2,0.01
"4858",179,"inform",12,"7H",24,0.51
"4859",179,"confess",20,"14L",14,0.02
"4860",179,"hear",16,"20H",3,0.01
"4861",179,"reveal",3,"19L",4,0.01
"4863",180,"be annoyed",9,"12L",28,0.57
"4864",180,"be right",6,"15H",34,0.29
"4866",180,"announce",10,"18L",32,0.01
"4867",180,"admit",13,"8L",23,0.63
"4869",180,"confess",20,"14L",14,0.73
"4870",180,"reveal",3,"10H",18,0.89
"4871",180,"establish",1,"3H",33,0.49
"4872",180,"see",19,"13H",8,0.69
"4873",180,"know",11,"2L",10,0.48
"4874",180,"prove",2,"9H",35,0.61
"4875",180,"suggest",17,"11L",11,0.27
"4876",180,"say",8,"5H",20,0.37
"4877",180,"demonstrate",18,"17H",21,0.52
"4878",180,"acknowledge",5,"4L",12,0.55
"4879",180,"hear",16,"16L",31,0.43
"4880",180,"confirm",4,"1H",13,0.67
"4881",180,"discover",14,"19H",39,0.57
"4882",180,"pretend",15,"6L",30,0.23
"4887",180,"think",7,"20H",3,0.41
"4888",180,"inform",12,"7L",19,0.59
"4889",181,"inform",12,"20L",27,0.02
"4890",181,"confess",20,"15H",34,0.51
"4892",181,"hear",16,"14H",22,0
"4895",181,"think",7,"13L",26,0.04
"4896",181,"reveal",3,"2H",25,0.02
"4897",181,"be right",6,"5L",38,0
"4898",181,"establish",1,"3L",9,0.02
"4899",181,"be annoyed",9,"19H",39,0.82
"4900",181,"announce",10,"17H",21,0.52
"4901",181,"acknowledge",5,"12L",28,0.7
"4902",181,"suggest",17,"9H",35,0.01
"4903",181,"prove",2,"4H",40,0
"4904",181,"discover",14,"7L",19,0.72
"4905",181,"confirm",4,"16H",17,0
"4907",181,"say",8,"11H",29,0
"4909",181,"know",11,"1L",37,0.92
"4910",181,"admit",13,"10L",36,0.02
"4911",181,"demonstrate",18,"18H",6,0
"4913",181,"see",19,"8L",23,0.58
"4914",181,"pretend",15,"6L",30,0.02
"4915",182,"see",19,"1H",13,0.97
"4917",182,"think",7,"11H",29,0.02
"4919",182,"announce",10,"16H",17,1
"4920",182,"inform",12,"12L",28,0.99
"4921",182,"confess",20,"14L",14,0.99
"4922",182,"admit",13,"7H",24,0.99
"4924",182,"pretend",15,"2H",25,0
"4925",182,"acknowledge",5,"15L",7,0.99
"4927",182,"reveal",3,"5L",38,0.99
"4928",182,"demonstrate",18,"9L",16,0.98
"4929",182,"establish",1,"3H",33,0.01
"4932",182,"be right",6,"4H",40,0.02
"4933",182,"suggest",17,"6L",30,0.02
"4934",182,"be annoyed",9,"13L",26,1
"4935",182,"prove",2,"10H",18,0.01
"4936",182,"hear",16,"17L",15,0.99
"4937",182,"know",11,"20H",3,0.99
"4938",182,"confirm",4,"8L",23,0.04
"4939",182,"discover",14,"19H",39,0.99
"4940",182,"say",8,"18L",32,0
"4942",183,"prove",2,"10H",18,0.51
"4943",183,"inform",12,"1H",13,0.84
"4945",183,"hear",16,"8L",23,0.88
"4946",183,"confirm",4,"13L",26,0
"4947",183,"confess",20,"4L",12,0
"4948",183,"know",11,"17L",15,1
"4950",183,"pretend",15,"20H",3,0.08
"4951",183,"admit",13,"12L",28,0.51
"4952",183,"see",19,"19L",4,0.88
"4955",183,"establish",1,"9H",35,0
"4956",183,"say",8,"2H",25,0
"4957",183,"reveal",3,"16H",17,0.5
"4959",183,"suggest",17,"3H",33,0
"4960",183,"acknowledge",5,"5H",20,0.51
"4961",183,"discover",14,"11L",11,0.51
"4962",183,"think",7,"6L",30,0
"4963",183,"demonstrate",18,"14L",14,0
"4964",183,"be right",6,"7H",24,0
"4965",183,"announce",10,"15L",7,0
"4966",183,"be annoyed",9,"18H",6,0.52
"4967",184,"see",19,"1L",37,0.5
"4968",184,"be right",6,"19L",4,0.21
"4971",184,"confess",20,"20H",3,0.87
"4972",184,"inform",12,"2L",10,0.11
"4973",184,"pretend",15,"12L",28,0.01
"4974",184,"admit",13,"3H",33,0.59
"4975",184,"acknowledge",5,"4L",12,0.58
